ticker,date,permno,price,monthly_return,year,month,day
MSFT,2024-01-31,10107,397.57999,0.057281,2024,1,31
NVDA,2024-01-31,86580,615.27002,0.242418,2024,1,31
AAPL,2024-01-31,14593,184.39999,-0.042227,2024,1,31
MSFT,2024-02-29,10107,413.64001,0.042281,2024,2,29
NVDA,2024-02-29,86580,791.12,0.285809,2024,2,29
AAPL,2024-02-29,14593,180.75,-0.018492,2024,2,29
MSFT,2024-03-28,10107,420.72,0.017116,2024,3,28
NVDA,2024-03-28,86580,903.56,0.142178,2024,3,28
AAPL,2024-03-28,14593,171.48,-0.051286,2024,3,28
MSFT,2024-04-30,10107,389.32999,-0.07461,2024,4,30
NVDA,2024-04-30,86580,864.02002,-0.04376,2024,4,30
AAPL,2024-04-30,14593,170.33,-0.006706,2024,4,30
MSFT,2024-05-31,10107,415.13,0.068194,2024,5,31
NVDA,2024-05-31,86580,1096.32996,0.268871,2024,5,31
AAPL,2024-05-31,14593,192.25,0.130159,2024,5,31
NVDA,2024-06-28,86580,123.54,0.126942,2024,6,28
AAPL,2024-06-28,14593,210.62,0.095553,2024,6,28
MSFT,2024-06-28,10107,446.95001,0.076651,2024,6,28
AAPL,2024-07-31,14593,222.08,0.054411,2024,7,31
NVDA,2024-07-31,86580,117.02,-0.052777,2024,7,31
MSFT,2024-07-31,10107,418.35001,-0.063989,2024,7,31
AAPL,2024-08-30,14593,229.0,0.032286,2024,8,30
NVDA,2024-08-30,86580,119.37,0.020082,2024,8,30
MSFT,2024-08-30,10107,417.14001,-0.0011,2024,8,30
MSFT,2024-09-30,10107,430.29999,0.031548,2024,9,30
AAPL,2024-09-30,14593,233.0,0.017467,2024,9,30
NVDA,2024-09-30,86580,121.44,0.017425,2024,9,30
AAPL,2024-10-31,14593,225.91,-0.030429,2024,10,31
NVDA,2024-10-31,86580,132.75999,0.093215,2024,10,31
MSFT,2024-10-31,10107,406.35001,-0.055659,2024,10,31
NVDA,2024-11-29,86580,138.25,0.041353,2024,11,29
MSFT,2024-11-29,10107,423.45999,0.044149,2024,11,29
AAPL,2024-11-29,14593,237.33,0.051658,2024,11,29
AAPL,2024-12-31,14593,250.42,0.055155,2024,12,31
MSFT,2024-12-31,10107,421.5,-0.004629,2024,12,31
NVDA,2024-12-31,86580,134.28999,-0.028572,2024,12,31
